Country,Date,Confirmed,New Cases,Deaths,New Deaths,Total Cases per Million,New Cases per Million,Total Deaths per Million,New Deaths per Million,R value,icu_patients,icu_patients_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,tests_per_case,population,population_density
Italy,31/01/2020,2,2,,,0.033,0.033,,,,,,,,,,,,60461828,205.859
Italy,01/02/2020,2,0,,,0.033,0,,,,,,,,,,,,60461828,205.859
Italy,02/02/2020,2,0,,,0.033,0,,,,,,,,,,,,60461828,205.859
Italy,03/02/2020,2,0,,,0.033,0,,,,,,,,,,,,60461828,205.859
Italy,04/02/2020,2,0,,,0.033,0,,,,,,,,,,,,60461828,205.859
Italy,05/02/2020,2,0,,,0.033,0,,,,,,,,,,,,60461828,205.859
Italy,06/02/2020,2,0,,,0.033,0,,,,,,,,,,,,60461828,205.859
Italy,07/02/2020,3,1,,,0.05,0.017,,,,,,,,,,,,60461828,205.859
Italy,08/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,09/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,10/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,11/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,12/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,13/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,14/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,15/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,16/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,17/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,18/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,19/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,20/02/2020,3,0,,,0.05,0,,,,,,,,,,,,60461828,205.859
Italy,21/02/2020,20,17,1,1,0.331,0.281,0.017,0.017,,,,,,,,,,60461828,205.859
